,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest,list
0,1404577098438750210,1404470695891976198,2021-06-15 06:10:50 SE Asia Standard Time,2021-06-15,06:10:50,700,1357784572646285312,iamrbnzay,IAMRBNZAY,,@Bratttyyyyyy1 Let that man Rest In Peace 🤦🏽‍♂️😂,en,[],[],[],0,0,0,[],[],https://twitter.com/iamrbnzay/status/1404577098438750210,False,,0,,,,,,,,"{'screen_name': 'Bratttyyyyyy1', 'name': 'Bratttyyyyyy', 'id': '1377805819455094784'}]",,,,,Bratttyyyyyy1
2,1404577072823947270,1404572925693333507,2021-06-15 06:10:44 SE Asia Standard Time,2021-06-15,06:10:44,700,89516920,mariecgould,Variant MC,,@sankofa_bird Men just wanna play with their sexless action figures in peace - but do they have to do in it front of the rest of us??,en,[],[],[],0,0,0,[],[],https://twitter.com/MarieCGould/status/1404577072823947270,False,,0,,,,,,,,"{'screen_name': 'sankofa_bird', 'name': 'Caroline “Caro” Renard', 'id': '2826977876'}]",,,,,sankofa_bird
5,1404576976539721737,1404564502557958144,2021-06-15 06:10:21 SE Asia Standard Time,2021-06-15,06:10:21,700,700972915,jungkagustd,princia,,@winderrside tata mic rest in peace agr eu so tomo esse de 6 em 6 hrs,pt,[],[],[],0,0,0,[],[],https://twitter.com/jungkagustd/status/1404576976539721737,False,,0,,,,,,,,"{'screen_name': 'winderrside', 'name': '𝑔𝑖𝑢𝑙𝑖𝑎', 'id': '2526084781'}]",,,,,winderrside
7,1404576947502518273,1404420543466676229,2021-06-15 06:10:14 SE Asia Standard Time,2021-06-15,06:10:14,700,1100576458379051009,am_gundam,See You Pixel Jamiko...,,@_Widdershins_ Rest in peace Trixie,en,[],[],[],0,0,0,[],[],https://twitter.com/am_gundam/status/1404576947502518273,False,,0,,,,,,,,"{'screen_name': '_Widdershins_', 'name': 'Lee', 'id': '1016349319706894336'}]",,,,,_Widdershins_
8,1404576945258500098,1404575539269144583,2021-06-15 06:10:14 SE Asia Standard Time,2021-06-15,06:10:14,700,407021981,ottlek1,Ottlek 📊,,@Yeancahorllar May her soul continue to rest in peace. More of Allah's fortitude will be on you,en,[],[],[],0,0,0,[],[],https://twitter.com/Ottlek1/status/1404576945258500098,False,,0,,,,,,,,"{'screen_name': 'Yeancahorllar', 'name': 'Compact Plus (AKA KuruKi)', 'id': '232784568'}]",,,,,Yeancahorllar
9,1404576836999335938,1404224613094199308,2021-06-15 06:09:48 SE Asia Standard Time,2021-06-15,06:09:48,700,1031263796650815489,janicereardon2,Janice,,"@pezleeNH I am so sorry Leslie. I am sorry for you, your grandson, your family and your daughter who has passed.  May she rest in eternal peace, and may you find comfort in your memories of your daughter.🙏🙏🙏🙏",en,[],[],[],0,0,1,[],[],https://twitter.com/JaniceReardon2/status/1404576836999335938,False,,0,,,,,,,,"{'screen_name': 'pezleeNH', 'name': 'LeslieC aka pezlee', 'id': '3252141494'}]",,,,,pezleeNH
10,1404576803671400450,1404500920730325003,2021-06-15 06:09:40 SE Asia Standard Time,2021-06-15,06:09:40,700,50686423,smug55,Moh,,@kolaakintimehin May she continue to rest in peace,en,[],[],[],0,0,1,[],[],https://twitter.com/smug55/status/1404576803671400450,False,,0,,,,,,,,"{'screen_name': 'kolaakintimehin', 'name': 'Kolawole', 'id': '353494386'}]",,,,,kolaakintimehin
11,1404576761732554752,1404566904921022467,2021-06-15 06:09:30 SE Asia Standard Time,2021-06-15,06:09:30,700,3092210781,knitrebecca,Rebecca Price,,"@HounddogZenith I am so very sorry to read this update about your brother. To fight for so long as well!  Rest eternal grant unto him oh Lord, let light perpetual shine upon him and may his soul rest in peace. Amethyst",en,[],[],[],0,0,0,[],[],https://twitter.com/KnitRebecca/status/1404576761732554752,False,,0,,,,,,,,"{'screen_name': 'HounddogZenith', 'name': 'Zenith the Hound', 'id': '1000898094115049472'}]",,,,,HounddogZenith
13,1404576620485222401,1404573283199107078,2021-06-15 06:08:56 SE Asia Standard Time,2021-06-15,06:08:56,700,3816647542,amorgaia,AmorGaia🌹,,@SDonziger Rest in peace brother,en,[],[],[],0,0,0,[],[],https://twitter.com/AmorGaia/status/1404576620485222401,False,,0,,,,,,,,"{'screen_name': 'SDonziger', 'name': 'Steven Donziger', 'id': '2826804048'}]",,,,,SDonziger
15,1404576589048860675,1404575539269144583,2021-06-15 06:08:49 SE Asia Standard Time,2021-06-15,06:08:49,700,983660067235999744,hybee_solar,SENOR ASAFA IBRAHIM,,@Yeancahorllar May her soul continue to rest in peace. 🙏🏿🙏🏿,en,[],[],[],0,0,0,[],[],https://twitter.com/hybee_solar/status/1404576589048860675,False,,0,,,,,,,,"{'screen_name': 'Yeancahorllar', 'name': 'Compact Plus (AKA KuruKi)', 'id': '232784568'}]",,,,,Yeancahorllar
16,1404576515719942157,1404471674620321796,2021-06-15 06:08:31 SE Asia Standard Time,2021-06-15,06:08:31,700,918457561233403904,aim4power,Duke of Nogokpo,,@KwabenaBamford @titokgh @PulseGhana Exactly! That is the point. He was too relaxed and got taken by surprise. Which shouldn't have been. He was supposed to be alert AT ALL TIMES. He slacked big time. May his soul rest in peace.,en,[],[],[],0,0,0,[],[],https://twitter.com/Aim4power/status/1404576515719942157,False,,0,,,,,,,,"{'screen_name': 'KwabenaBamford', 'name': 'Nana KB🌚', 'id': '533452883'}, {'screen_name': 'titokgh', 'name': 'tito kingsley ampiah', 'id': '460122735'}, {'screen_name': 'PulseGhana', 'name': 'Pulse Ghana', 'id': '2463511302'}]",,,,,KwabenaBamford
16,1404576515719942157,1404471674620321796,2021-06-15 06:08:31 SE Asia Standard Time,2021-06-15,06:08:31,700,918457561233403904,aim4power,Duke of Nogokpo,,@KwabenaBamford @titokgh @PulseGhana Exactly! That is the point. He was too relaxed and got taken by surprise. Which shouldn't have been. He was supposed to be alert AT ALL TIMES. He slacked big time. May his soul rest in peace.,en,[],[],[],0,0,0,[],[],https://twitter.com/Aim4power/status/1404576515719942157,False,,0,,,,,,,,"{'screen_name': 'KwabenaBamford', 'name': 'Nana KB🌚', 'id': '533452883'}, {'screen_name': 'titokgh', 'name': 'tito kingsley ampiah', 'id': '460122735'}, {'screen_name': 'PulseGhana', 'name': 'Pulse Ghana', 'id': '2463511302'}]",,,,,titokgh
