,community
166,117
68,107
345,67
47,63
106,56
70,52
372,51
44,51
1017,49
150,48
171,47
81,42
268,36
75,33
28,26
465,24
199,24
76,23
9,21
176,20
37,20
467,20
62,19
5,19
265,18
696,18
77,18
13,16
566,15
293,15
729,15
250,14
93,14
39,12
565,12
125,12
416,12
110,11
681,11
701,11
30,11
270,10
390,10
544,10
751,10
169,10
846,10
107,10
281,10
271,10
932,9
478,9
582,9
245,9
58,9
282,9
26,9
104,9
531,9
396,9
240,8
748,8
83,8
180,8
391,8
385,8
504,8
652,8
46,8
38,7
223,7
242,7
1019,7
320,7
972,7
218,7
363,7
115,7
86,7
17,7
718,7
558,7
665,7
991,6
330,6
510,6
247,6
487,6
867,6
367,6
592,6
312,6
236,6
23,6
915,6
608,6
341,6
489,6
492,6
541,6
118,6
446,6
573,6
515,5
974,5
11,5
22,5
225,5
782,5
600,5
1020,5
443,5
812,5
563,5
521,5
650,5
350,5
430,5
920,5
424,5
418,5
239,5
505,5
987,5
906,5
51,5
381,5
190,5
339,5
146,5
933,5
157,5
351,5
91,5
371,5
365,5
170,5
99,5
57,5
721,4
217,4
851,4
529,4
686,4
733,4
623,4
702,4
556,4
874,4
267,4
538,4
12,4
700,4
625,4
97,4
854,4
79,4
850,4
135,4
774,4
579,4
771,4
168,4
762,4
786,4
759,4
800,4
174,4
317,4
619,4
456,4
742,4
162,4
797,4
749,4
436,4
434,4
252,4
49,4
528,4
772,4
255,4
970,4
94,4
705,4
980,4
447,4
6,4
287,4
191,4
272,4
50,4
399,4
117,4
283,4
632,4
899,4
232,4
417,4
931,4
469,4
273,4
477,4
254,4
177,4
352,4
165,4
940,4
637,4
659,4
598,4
277,4
183,4
7,4
962,4
102,4
111,3
587,3
679,3
750,3
758,3
624,3
229,3
622,3
724,3
233,3
738,3
633,3
327,3
704,3
668,3
666,3
235,3
654,3
251,3
712,3
329,3
617,3
95,3
726,3
640,3
734,3
105,3
636,3
629,3
179,3
583,3
577,3
904,3
211,3
493,3
55,3
918,3
481,3
944,3
461,3
958,3
964,3
453,3
976,3
451,3
685,3
445,3
377,3
441,3
1004,3
1010,3
1014,3
1016,3
1028,3
405,3
397,3
389,3
187,3
175,3
896,3
361,3
892,3
537,3
784,3
790,3
87,3
561,3
555,3
553,3
824,3
830,3
155,3
832,3
834,3
838,3
844,3
888,3
299,3
219,3
535,3
297,3
533,3
862,3
523,3
355,3
878,3
357,3
513,3
886,3
986,3
0,3
865,3
112,3
410,3
953,3
807,3
805,3
957,3
164,3
789,3
891,3
460,3
142,3
138,3
468,3
134,3
474,3
132,3
480,3
993,3
488,3
765,3
494,3
995,3
761,3
753,3
514,3
120,3
817,3
198,3
206,3
340,3
897,3
302,3
887,3
286,3
284,3
318,3
324,3
871,3
869,3
689,3
280,3
342,3
829,3
278,3
356,3
358,3
362,3
366,3
244,3
376,3
925,3
226,3
833,3
831,3
114,3
981,3
745,3
602,3
562,3
586,3
560,3
717,3
82,3
1045,3
576,3
596,3
88,3
34,3
707,3
735,3
96,3
1009,3
1005,3
36,3
1031,3
4,3
54,3
741,3
610,3
699,3
929,2
919,2
909,2
1039,2
911,2
913,2
939,2
917,2
937,2
1037,2
387,2
923,2
369,2
927,2
375,2
379,2
373,2
907,2
383,2
935,2
921,2
1041,2
905,2
1047,2
427,2
893,2
425,2
895,2
1051,2
423,2
901,2
421,2
419,2
1049,2
257,2
415,2
413,2
393,2
411,2
259,2
409,2
407,2
1043,2
403,2
261,2
1033,2
401,2
263,2
903,2
395,2
1035,2
947,2
269,2
323,2
983,2
1013,2
337,2
985,2
335,2
333,2
331,2
289,2
